geneID	epidermis	cortex	columella	stelle	endodermis
AT4G19990	6.12588	4.25851	5.53863	3.42305	3.044
AT4G20000	25.5469	1.1993200000000002	3.9079599999999997	0.13428099999999998	1.1022205
AT4G20006	0.0	0.0	0.0	0.0	0.0
AT4G20010	4.0084	5.40526	6.36955	11.7049	7.12437
AT4G20020	11.8145	20.654	17.1861	64.4094	27.249650000000003
AT4G20030	1.9145400000000001	2.41665	5.05825	7.922219999999999	5.09305
AT4G20040	1.6018700000000001	1.75814	13.9358	4.62082	3.000585
AT4G20050	0.040861	0.116574	0.45588900000000004	0.0914869	0.0886073
AT4G20060	0.548275	1.27896	2.26879	2.7867900000000003	1.240052
AT4G20070	1.07174	31.2174	1.28462	2.72335	10.94505
AT4G20080	0.00519927	0.0324363	0.018784099999999998	0.00489689	0.05089275000000001
AT4G20090	0.949564	2.23469	1.6363	4.28094	2.17864
AT4G20095	0.0	0.0	0.0	0.0	0.00821755
AT4G20100	0.0161753	0.12350499999999999	0.0	0.136299	0.374529
AT4G20110	9.13011	2.27609	0.344355	0.05736599999999999	1.3177892
AT4G20115	0.0	0.0	0.0	0.0	0.0
AT4G20130	1.40466	2.4674400000000003	2.29014	8.136339999999999	4.05713
AT4G20140	0.892437	3.39889	1.2662	0.221266	44.51805
AT4G20150	318.638	375.69300000000004	147.645	204.727	318.4335
AT4G20160	0.6851	0.00428533	0.00337892	0.00797903	0.026142480000000003
AT4G20170	7.572039999999999	12.9803	31.0074	17.6652	25.680799999999998
AT4G20180	0.0	0.0	0.0	0.0	0.0
AT4G20190	7.873139999999999	0.07889410000000001	0.0240766	0.05670549999999999	0.070704
AT4G20200	0.0	0.0	0.0	0.0	0.0
AT4G20210	0.116727	1.52237	0.366867	1.56274	4.835109999999999
AT4G20220	0.0	0.0	0.0	0.0	0.0
AT4G20230	0.046870800000000004	0.349109	0.12580999999999998	0.472685	1.068413
AT4G20235	0.11260099999999999	0.133338	0.059263800000000005	0.0578187	0.2715665
AT4G20240	0.275145	1.06897	1.214	0.0710857	1.4137254499999998
AT4G20250	0.0	0.0	0.0	0.0	0.0
AT4G20260	202.679	146.98	13.6743	28.2061	189.72450000000003
AT4G20270	0.112429	5.20367	2.11522	15.9396	5.190115
AT4G20280	7.49775	18.8388	15.0074	23.8585	18.3396
AT4G20290	0.24591100000000002	0.12000999999999999	0.20708400000000002	0.942092	0.21318684999999998
AT4G20300	65.2253	36.9077	54.3316	29.7077	40.98565
AT4G20310	1.19039	2.07041	2.98103	5.29902	3.2582750000000003
